task_id,mobility_status,signal_strength,critical_task,bandwidth_mbps,number_of_instructions_mips,task_size_MB,is_offloaded,offloading_target,decision_reason
25,high,-73.84655316,0,24.61600008,3557,579.3750037,1,cloud,High mobility - cloud optimal
26,medium,-45.0903806,0,59.31162833,4197,474.7032793,1,RSU,Medium mobility & RSU connectivity
27,low,-67.46090911,1,34.44923541,1229,340.9096748,0,local,Critical task - local execution required
28,low,-69.10751278,0,33.6989989,302,62.44430247,1,peer_vehicle,Low mobility & excellent peer connectivity
29,high,-57.87440974,0,50.18748706,3682,80.06691482,0,local,Network conditions unsuitable
30,medium,-72.1687974,0,35.13293693,1894,284.9650765,1,RSU,Medium mobility & RSU connectivity
31,high,-89.33648684,0,17.98890965,1943,459.8370507,1,cloud,High mobility - cloud optimal
32,high,-69.28994598,1,27.06907653,972,65.50532704,0,local,Critical task - local execution required
33,medium,-63.34208105,0,38.98457238,723,138.0261145,1,RSU,Medium mobility & RSU connectivity
34,high,-80.32590836,0,19.42921813,3823,484.9090527,0,local,Network conditions unsuitable
35,medium,-77.45171567,0,33.58716298,4599,905.2153033,1,RSU,Medium mobility & RSU connectivity
36,medium,-59.31873415,0,52.59117735,1545,275.2712549,1,RSU,Medium mobility & RSU connectivity
37,high,-75.10868934,1,28.72564532,1686,286.7776564,0,local,Critical task - local execution required
38,medium,-76.02922762,0,13.28836529,4593,334.8251341,1,RSU,Medium mobility & RSU connectivity
39,high,-64.01468404,1,49.75886043,959,150.9278772,0,local,Critical task - local execution required
40,medium,-59.54669527,0,63.71830953,1793,446.3575876,1,RSU,Medium mobility & RSU connectivity
41,high,-54.31813779,0,54.92224978,1059,270.126609,1,cloud,High mobility - cloud optimal
42,low,-57.53629791,0,62.58471513,3220,37.22318733,1,peer_vehicle,Low mobility & excellent peer connectivity
43,low,-58.85249687,0,51.99479085,1160,308.56017,1,peer_vehicle,Low mobility & excellent peer connectivity
44,low,-36.50053314,1,80.25196264,1492,34.64121711,0,local,Critical task - local execution required
45,low,-66.24363413,0,39.61800704,2165,298.9910666,1,peer_vehicle,Low mobility & excellent peer connectivity
46,low,-48.67865915,0,47.59305355,3963,190.4362538,1,peer_vehicle,Low mobility & excellent peer connectivity
47,low,-63.86089484,0,35.16292723,3275,527.7618057,1,peer_vehicle,Low mobility & excellent peer connectivity
48,low,-63.8228982,0,33.94820528,2906,288.8558151,1,peer_vehicle,Low mobility & excellent peer connectivity
49,medium,-60.53945157,0,42.90509894,1266,135.7779841,1,RSU,Medium mobility & RSU connectivity
50,medium,-61.86879436,0,44.73556814,3836,138.6768819,1,RSU,Medium mobility & RSU connectivity
51,medium,-51.44265992,1,61.10416478,1112,170.7600107,0,local,Critical task - local execution required
52,low,-45.35029011,0,50.53715116,104,57.95130571,1,peer_vehicle,Low mobility & excellent peer connectivity
53,low,-71.25289847,0,28.37244691,4464,962.7085173,1,peer_vehicle,Low mobility - peer vehicle available
54,high,-88.35729933,0,17.3497509,3775,637.4362465,1,cloud,High mobility - cloud optimal
55,medium,-77.62665303,0,41.09834498,1764,82.60119653,1,RSU,Medium mobility & RSU connectivity
56,medium,-74.99028407,0,24.59233377,659,46.47400814,1,RSU,Medium mobility & RSU connectivity
57,low,-51.27782328,0,52.16579678,2394,32.37951407,1,peer_vehicle,Low mobility & excellent peer connectivity
58,high,-83.65414209,0,35.00402478,3456,96.25630997,1,cloud,High mobility - cloud optimal
59,low,-78.1672039,1,24.30021964,717,186.9860784,0,local,Critical task - local execution required
60,medium,-52.72348092,0,71.70786834,1857,308.0544456,1,RSU,Medium mobility & RSU connectivity
61,high,-52.03417074,1,57.57350401,1515,267.1600654,0,local,Critical task - local execution required
62,medium,-78.48262292,0,31.86833475,4692,901.1633779,1,RSU,Medium mobility & RSU connectivity
63,medium,-52.96202821,0,48.17034729,2838,548.7557166,1,RSU,Medium mobility & RSU connectivity
64,high,-57.18292625,0,53.01475204,1166,69.25865044,1,cloud,High mobility - cloud optimal
65,high,-85.96887994,0,19.08527901,2996,460.2026535,1,cloud,High mobility - cloud optimal
66,high,-62.73545324,0,39.73585995,214,43.83958796,1,cloud,High mobility - cloud optimal
67,low,-48.64682756,0,64.51991823,3448,764.1637007,1,peer_vehicle,Low mobility & excellent peer connectivity
68,low,-60.9438076,0,51.51794396,2886,670.8175565,1,peer_vehicle,Low mobility & excellent peer connectivity
69,low,-63.25918614,1,48.46575568,536,53.24428505,0,local,Critical task - local execution required
70,low,-49.4069849,0,59.0940769,3014,76.95983567,1,peer_vehicle,Low mobility & excellent peer connectivity
71,low,-57.26364324,1,56.73925188,676,17.31231531,0,local,Critical task - local execution required
72,high,-51.65834012,1,55.5278578,764,84.12591939,0,local,Critical task - local execution required
73,high,-51.99752132,1,72.90151554,1384,39.09560195,0,local,Critical task - local execution required
74,low,-52.89015833,0,65.05362666,3736,671.6678706,1,peer_vehicle,Low mobility & excellent peer connectivity
75,medium,-81.35175588,0,22.98432941,1256,260.1617098,1,RSU,Medium mobility & RSU connectivity
76,medium,-56.76674064,1,46.46261753,1532,310.6703676,0,local,Critical task - local execution required
77,high,-65.27127747,0,43.63419961,3093,641.4576341,1,cloud,High mobility - cloud optimal
78,medium,-64.46695325,0,38.58411069,3819,326.4237594,1,RSU,Medium mobility & RSU connectivity
79,low,-43.42401947,1,62.14362286,944,112.2728781,0,local,Critical task - local execution required
80,low,-48.27120361,0,60.36697846,3702,97.89437672,1,peer_vehicle,Low mobility & excellent peer connectivity
81,medium,-84.54585421,0,21.12672343,3172,501.7501581,1,RSU,Medium mobility & RSU connectivity
82,low,-61.98996982,0,38.99418867,923,152.7322859,1,peer_vehicle,Low mobility & excellent peer connectivity
83,medium,-52.91563004,1,41.32726619,579,116.2393938,0,local,Critical task - local execution required
84,high,-50.28140816,0,64.45505682,1350,258.8250599,1,cloud,High mobility - cloud optimal
85,medium,-78.35138272,0,18.80045008,570,14.49829349,1,RSU,Medium mobility & RSU connectivity
86,low,-37.23148322,1,87.5288598,1471,46.54946086,0,local,Critical task - local execution required
87,high,-76.57359741,0,18.43870399,639,22.31927712,0,local,Network conditions unsuitable
88,medium,-45.55157022,0,78.05126879,2608,427.205241,1,RSU,Medium mobility & RSU connectivity
89,low,-39.0082767,1,62.62820231,1323,320.2474703,0,local,Critical task - local execution required
90,low,-55.17854574,0,68.43741524,1115,124.7153507,1,peer_vehicle,Low mobility & excellent peer connectivity
91,low,-35.57257418,0,63.60783475,4025,751.2477986,1,peer_vehicle,Low mobility & excellent peer connectivity
92,medium,-82.45952682,0,31.87954681,610,64.32933461,1,RSU,Medium mobility & RSU connectivity
93,high,-55.41110495,1,65.63654064,1176,254.9882129,0,local,Critical task - local execution required
94,medium,-69.88597803,0,38.63649421,2148,505.4951689,1,RSU,Medium mobility & RSU connectivity
95,low,-69.71107375,0,24.07379813,1674,293.6421595,1,peer_vehicle,Low mobility - peer vehicle available
96,medium,-54.10726433,0,65.29269738,4463,811.2625521,1,RSU,Medium mobility & RSU connectivity
97,high,-86.46367107,1,11.73752583,1418,290.894965,0,local,Critical task - local execution required
98,medium,-60.18761795,0,68.08892079,4630,927.1172309,1,RSU,Medium mobility & RSU connectivity
99,high,-50.781491,0,65.64903093,2582,557.8026258,1,cloud,High mobility - cloud optimal
100,high,-69.44042043,1,53.09111741,1519,123.8262293,0,local,Critical task - local execution required
101,low,-56.43789758,0,50.71716081,3572,403.3189276,1,peer_vehicle,Low mobility & excellent peer connectivity
102,high,-71.63456975,1,45.39590012,552,76.35871405,0,local,Critical task - local execution required
103,high,-81.63476836,0,25.91903086,3545,565.9247293,1,cloud,High mobility - cloud optimal
104,medium,-57.13994135,0,34.93186499,1987,238.3787117,1,RSU,Medium mobility & RSU connectivity
105,low,-72.2456058,0,26.78128046,623,50.31088456,1,peer_vehicle,Low mobility - peer vehicle available
106,medium,-64.86330917,0,37.69182506,2396,281.2736853,1,RSU,Medium mobility & RSU connectivity
107,low,-56.97543439,0,53.05450614,402,69.98080683,1,peer_vehicle,Low mobility & excellent peer connectivity
108,medium,-60.26980914,0,47.96131271,3387,561.5266058,1,RSU,Medium mobility & RSU connectivity
109,medium,-79.09043632,0,32.02626892,1631,50.14085118,1,RSU,Medium mobility & RSU connectivity
110,high,-68.69530934,0,41.33392344,4680,192.9346787,1,cloud,High mobility - cloud optimal
111,high,-56.37160056,0,39.87003201,3696,500.1748248,1,cloud,High mobility - cloud optimal
112,low,-44.48729426,0,68.26876259,2258,324.3234383,1,peer_vehicle,Low mobility & excellent peer connectivity
113,medium,-62.69030936,0,28.71108459,2760,239.9142458,1,RSU,Medium mobility & RSU connectivity
114,low,-54.31497629,0,63.36167783,976,100.8671293,1,peer_vehicle,Low mobility & excellent peer connectivity
115,high,-89.69862547,0,10.71173776,3521,154.1043656,1,cloud,High mobility - cloud optimal
116,high,-83.06505619,1,2.098329232,1258,22.89685663,0,local,Critical task - local execution required
117,low,-79.17908834,0,31.36496763,745,242.9163878,1,peer_vehicle,Low mobility - peer vehicle available
118,medium,-56.08415614,1,53.86064512,693,135.0598118,0,local,Critical task - local execution required
119,medium,-62.13549242,0,40.13641902,1241,248.9988907,1,RSU,Medium mobility & RSU connectivity
120,low,-46.86887673,0,68.32213727,2148,325.3312743,1,peer_vehicle,Low mobility & excellent peer connectivity
121,high,-66.75047114,0,62.16965402,3844,323.9412899,1,cloud,High mobility - cloud optimal
122,medium,-63.05587528,0,31.44490478,2160,365.7692057,1,RSU,Medium mobility & RSU connectivity
123,high,-84.44700906,0,18.09019683,2138,420.0956666,1,cloud,High mobility - cloud optimal
124,medium,-50.9709016,0,50.64436992,2069,68.24242731,1,RSU,Medium mobility & RSU connectivity
125,low,-37.77467944,0,75.36310297,3065,39.05100793,1,peer_vehicle,Low mobility & excellent peer connectivity
126,low,-42.74266008,1,67.46339002,1297,297.4270206,0,local,Critical task - local execution required
127,low,-71.61177559,0,40.00478862,700,211.1421271,1,peer_vehicle,Low mobility & excellent peer connectivity
128,high,-57.33602242,0,53.14442518,3697,755.6825164,1,cloud,High mobility - cloud optimal
129,high,-68.40875752,0,23.02221193,3154,283.6282485,1,cloud,High mobility - cloud optimal
130,high,-53.74111556,0,63.48618187,2070,224.6478249,1,cloud,High mobility - cloud optimal
131,low,-47.12528884,0,77.09625226,1022,241.106005,1,peer_vehicle,Low mobility & excellent peer connectivity
132,low,-65.97250695,0,40.57434965,1050,48.65403559,1,peer_vehicle,Low mobility & excellent peer connectivity
133,high,-61.43743671,0,43.02487811,3328,415.6180006,1,cloud,High mobility - cloud optimal
134,high,-73.64179292,1,33.7140804,1934,313.9049295,0,local,Critical task - local execution required
135,low,-48.77232,0,55.28290241,4206,902.8858227,1,peer_vehicle,Low mobility & excellent peer connectivity
136,medium,-75.90596068,0,18.95560956,445,179.3001345,1,RSU,Medium mobility & RSU connectivity
137,low,-53.61965756,0,54.03364117,927,171.2667986,1,peer_vehicle,Low mobility & excellent peer connectivity
138,high,-53.24997911,1,56.47534855,626,38.58909725,0,local,Critical task - local execution required
139,high,-66.94846559,0,52.4073343,3467,667.6026059,0,local,Network conditions unsuitable
140,low,-74.47351482,0,26.54205681,3517,674.7762322,1,peer_vehicle,Low mobility - peer vehicle available
141,medium,-48.1663247,1,82.50993918,1160,129.0329634,0,local,Critical task - local execution required
142,medium,-55.23001393,0,57.91560463,4312,583.0029945,1,RSU,Medium mobility & RSU connectivity
143,low,-61.34729371,1,45.85942872,974,218.7278617,0,local,Critical task - local execution required
144,high,-71.91128236,0,40.16580005,4958,158.0552383,1,cloud,High mobility - cloud optimal
145,medium,-65.06528909,0,40.07417685,4258,267.7640176,1,RSU,Medium mobility & RSU connectivity
146,low,-70.4293647,0,41.05441327,3532,124.13831,1,peer_vehicle,Low mobility & excellent peer connectivity
147,medium,-81.58601328,1,42.68366249,1664,174.9726898,0,local,Critical task - local execution required
148,high,-72.92844379,1,32.95961493,1841,100.0206815,0,local,Critical task - local execution required
149,low,-71.41905257,0,54.85655163,2165,160.2555906,1,peer_vehicle,Low mobility & excellent peer connectivity
150,low,-56.25585214,0,43.63614179,2261,276.9649384,1,peer_vehicle,Low mobility & excellent peer connectivity
151,high,-85.88074083,0,17.82097212,4973,300.0033959,1,cloud,High mobility - cloud optimal
152,medium,-68.65063316,0,36.14775097,1923,348.380281,1,RSU,Medium mobility & RSU connectivity
153,medium,-83.9161603,0,25.07398415,427,23.78118819,1,RSU,Medium mobility & RSU connectivity
154,medium,-77.85821352,0,17.53772961,3154,528.1661453,1,RSU,Medium mobility & RSU connectivity
155,low,-35.50720481,0,63.84522483,4525,90.50853085,1,peer_vehicle,Low mobility & excellent peer connectivity
156,low,-78.80605083,0,18.22847593,1408,163.7084858,1,RSU,Low mobility & good RSU
157,medium,-52.30225753,0,51.60254144,4666,40.19334355,1,RSU,Medium mobility & RSU connectivity
158,medium,-71.1923142,1,23.30153258,1404,168.8963496,0,local,Critical task - local execution required
159,low,-66.74904082,1,35.54179832,1213,196.0061869,0,local,Critical task - local execution required
160,low,-35.65847095,0,80.40292378,4931,464.740841,1,peer_vehicle,Low mobility & excellent peer connectivity
161,low,-67.90951883,0,27.72309403,1401,318.2658248,1,peer_vehicle,Low mobility - peer vehicle available
162,medium,-63.97239271,0,49.1792415,3898,602.5126008,1,RSU,Medium mobility & RSU connectivity
163,low,-56.16522446,1,46.5246156,1676,219.0093974,0,local,Critical task - local execution required
164,high,-61.19189673,0,46.54291696,441,30.07744743,0,local,Network conditions unsuitable
165,high,-55.0443969,0,67.27051928,554,122.983983,0,local,Network conditions unsuitable
166,low,-61.80283243,1,53.9515616,629,41.71536782,0,local,Critical task - local execution required
167,low,-46.78848726,0,52.37889555,248,126.0416221,1,peer_vehicle,Low mobility & excellent peer connectivity
168,medium,-48.37945291,0,66.59283259,1350,351.4969809,1,RSU,Medium mobility & RSU connectivity
169,low,-37.06608786,0,61.48239985,850,74.49997174,1,peer_vehicle,Low mobility & excellent peer connectivity
170,low,-77.68583839,0,25.7858421,4560,160.7548459,1,peer_vehicle,Low mobility - peer vehicle available
171,high,-71.03050765,0,26.39608947,160,92.42710435,1,cloud,High mobility - cloud optimal
172,medium,-75.14391867,1,15.58284413,1752,6.041964585,0,local,Critical task - local execution required
173,medium,-46.29202447,0,61.9872857,4190,902.6381671,1,RSU,Medium mobility & RSU connectivity
174,high,-62.3775907,0,39.87570378,4207,512.4360471,0,local,Network conditions unsuitable
175,high,-60.71100454,1,57.43694345,1209,335.2582663,0,local,Critical task - local execution required
176,low,-39.34862843,0,81.27932469,3742,837.9991979,1,peer_vehicle,Low mobility & excellent peer connectivity
177,low,-78.22579349,0,32.67692569,3953,111.7347958,1,peer_vehicle,Low mobility - peer vehicle available
178,medium,-77.29603889,0,28.31553457,926,269.5834702,1,RSU,Medium mobility & RSU connectivity
179,medium,-50.51829396,1,66.8843177,1796,300.3060106,0,local,Critical task - local execution required
180,medium,-70.41211002,0,31.37711015,230,103.1767174,1,RSU,Medium mobility & RSU connectivity
181,high,-61.00932914,0,50.08936821,1020,225.6188743,1,cloud,High mobility - cloud optimal
182,high,-72.92731773,1,17.04974195,1973,16.94662265,0,local,Critical task - local execution required
183,high,-55.19604504,0,54.42301786,3910,66.41605194,1,cloud,High mobility - cloud optimal
184,low,-77.62922738,0,35.36877014,4513,483.7239188,1,peer_vehicle,Low mobility - peer vehicle available
185,medium,-50.05291543,1,56.37248131,1882,251.3155469,0,local,Critical task - local execution required
186,medium,-55.70912771,0,64.77612256,3600,294.0170585,1,RSU,Medium mobility & RSU connectivity
187,high,-78.14767518,0,25.94531068,1063,72.13489591,0,local,Network conditions unsuitable
188,low,-44.61447435,0,68.33634864,4905,1061.987634,1,peer_vehicle,Low mobility & excellent peer connectivity
189,low,-52.96406991,1,55.24960283,1833,285.5313045,0,local,Critical task - local execution required
190,medium,-64.49245956,0,37.33374124,4421,381.1015268,1,RSU,Medium mobility & RSU connectivity
191,medium,-46.70918948,1,68.07115545,1226,305.6639581,0,local,Critical task - local execution required
192,low,-38.25114726,1,83.65207899,918,216.2452393,0,local,Critical task - local execution required
193,low,-48.67907219,0,57.16732902,992,162.5482957,1,peer_vehicle,Low mobility & excellent peer connectivity
194,high,-66.79655169,0,44.90759252,1740,178.2882064,1,cloud,High mobility - cloud optimal
195,medium,-65.93292687,0,44.93436506,1518,39.6729225,1,RSU,Medium mobility & RSU connectivity
196,high,-75.09245932,0,28.28334523,4072,49.36378917,1,cloud,High mobility - cloud optimal
197,medium,-46.5151211,0,71.44181283,1691,291.8269228,1,RSU,Medium mobility & RSU connectivity
198,low,-41.09782039,0,70.96977193,4411,784.2447083,1,peer_vehicle,Low mobility & excellent peer connectivity
199,high,-55.97673084,1,59.39178045,1868,440.8403382,0,local,Critical task - local execution required
200,high,-85.76663625,0,21.13822875,4895,175.3418831,0,local,Network conditions unsuitable
201,high,-55.12625889,0,52.51154469,3608,612.1488421,1,cloud,High mobility - cloud optimal
202,high,-57.28131904,1,52.43612665,794,54.01712103,0,local,Critical task - local execution required
203,high,-86.63607102,0,8.107272298,4895,14.7437626,0,local,Network conditions unsuitable
204,low,-74.21980769,0,32.17148899,3626,448.9468478,1,peer_vehicle,Low mobility & excellent peer connectivity
205,medium,-71.32511336,0,35.81423061,1365,353.6056229,1,RSU,Medium mobility & RSU connectivity
206,low,-45.30570684,0,68.90125058,985,105.9978526,1,peer_vehicle,Low mobility & excellent peer connectivity
207,medium,-83.17031865,1,15.72424284,880,108.9589226,0,local,Critical task - local execution required
208,low,-77.04682349,1,30.56150681,1378,186.0911664,0,local,Critical task - local execution required
209,medium,-54.18370329,0,41.37160764,3456,747.4115178,1,RSU,Medium mobility & RSU connectivity
210,high,-55.83160902,0,49.75012616,2944,479.339906,1,cloud,High mobility - cloud optimal
211,low,-76.29285295,0,18.20614127,2996,673.6788848,1,RSU,Low mobility & good RSU
212,high,-60.74919732,1,54.08062184,1368,240.3606643,0,local,Critical task - local execution required
213,medium,-69.09622408,0,36.71984297,4063,662.4860177,1,RSU,Medium mobility & RSU connectivity
214,medium,-76.98563426,1,29.56395448,1291,135.1635046,0,local,Critical task - local execution required
215,high,-55.42567001,0,56.23099876,690,110.7106169,1,cloud,High mobility - cloud optimal
216,high,-89.2855243,1,16.51139659,1192,309.0061341,0,local,Critical task - local execution required
217,medium,-46.29954946,0,77.54544265,1975,215.8498885,1,RSU,Medium mobility & RSU connectivity
218,high,-70.33621813,0,47.60484896,216,86.57447635,1,cloud,High mobility - cloud optimal
219,low,-35.70418667,0,92.85755707,4533,485.7067369,1,peer_vehicle,Low mobility & excellent peer connectivity
220,low,-66.87518396,0,36.66929716,2143,413.3299778,1,peer_vehicle,Low mobility & excellent peer connectivity
221,high,-70.77972211,0,35.03551316,2820,373.8084824,1,cloud,High mobility - cloud optimal
222,medium,-71.94154767,0,24.40322528,2948,609.1824244,1,RSU,Medium mobility & RSU connectivity
223,medium,-52.01943812,0,62.63360306,4338,197.6646251,1,RSU,Medium mobility & RSU connectivity
224,high,-85.81728639,0,9.189123153,734,12.63752982,0,local,Network conditions unsuitable
225,low,-77.66129224,0,32.39223583,1813,291.1394125,1,peer_vehicle,Low mobility - peer vehicle available
226,medium,-60.50968056,0,50.53626641,558,189.8691211,1,RSU,Medium mobility & RSU connectivity
227,medium,-52.3080892,0,60.44104197,4209,81.47096717,1,RSU,Medium mobility & RSU connectivity
228,high,-80.11587064,0,41.32101143,1366,85.71459015,0,local,Network conditions unsuitable
229,low,-64.83968937,0,47.14186514,406,33.48670228,1,peer_vehicle,Low mobility & excellent peer connectivity
230,high,-63.86947923,0,52.39122042,411,177.7333483,1,cloud,High mobility - cloud optimal
231,low,-71.02058971,0,32.71628005,258,65.97201988,1,peer_vehicle,Low mobility & excellent peer connectivity
232,low,-51.70558318,0,44.60462759,3553,800.6504885,1,peer_vehicle,Low mobility & excellent peer connectivity
233,medium,-50.31874016,0,73.08893335,3911,771.1668644,1,RSU,Medium mobility & RSU connectivity
234,high,-73.13116293,0,28.57153039,1494,116.7819134,1,cloud,High mobility - cloud optimal
235,low,-62.72687817,0,40.81143065,4989,787.2535214,1,peer_vehicle,Low mobility & excellent peer connectivity
236,low,-71.9142601,0,38.68333855,101,25.84854495,1,peer_vehicle,Low mobility & excellent peer connectivity
237,high,-70.30888574,0,34.37549392,4699,604.5785378,1,cloud,High mobility - cloud optimal
238,low,-75.71323214,0,37.64333351,4028,878.0527375,1,peer_vehicle,Low mobility - peer vehicle available
239,medium,-58.73053342,0,45.78175029,4496,240.6530955,1,RSU,Medium mobility & RSU connectivity
240,medium,-49.65161321,0,63.1900952,2739,339.1106941,1,RSU,Medium mobility & RSU connectivity
241,medium,-51.84466536,0,62.97779525,2460,103.0535999,1,RSU,Medium mobility & RSU connectivity
242,medium,-83.53314292,0,8.624257795,2312,440.7699299,1,cloud,Medium mobility - cloud available
243,medium,-67.14525414,1,52.09772388,833,19.93392155,0,local,Critical task - local execution required
244,high,-68.75321888,1,55.9584709,1296,231.6890509,0,local,Critical task - local execution required
245,low,-69.88844704,0,49.85991162,375,172.7271209,1,peer_vehicle,Low mobility & excellent peer connectivity
246,high,-89.80240076,1,18.41217505,1829,453.4034423,0,local,Critical task - local execution required
247,low,-53.89494966,0,38.35361287,4023,118.117064,1,peer_vehicle,Low mobility & excellent peer connectivity
248,medium,-79.25830552,1,27.2339816,1391,256.3249841,0,local,Critical task - local execution required
249,high,-51.20351816,0,53.56562653,4712,1004.376004,1,cloud,High mobility - cloud optimal
250,low,-50.22654423,1,75.04039775,926,196.4460975,0,local,Critical task - local execution required
251,low,-57.62713562,0,52.45622963,4783,123.9462857,1,peer_vehicle,Low mobility & excellent peer connectivity
252,high,-53.25288812,0,64.50176942,3224,498.4255283,1,cloud,High mobility - cloud optimal
253,low,-64.31418497,0,29.91522875,3332,314.8197213,1,peer_vehicle,Low mobility - peer vehicle available
254,medium,-53.70458064,0,63.00257895,588,28.19670771,1,RSU,Medium mobility & RSU connectivity
255,high,-59.39236542,1,55.94095854,896,223.7605025,0,local,Critical task - local execution required
256,high,-72.57666741,1,31.79709841,1867,144.0535682,0,local,Critical task - local execution required
257,low,-50.79164035,0,69.75495331,2290,389.5933653,1,peer_vehicle,Low mobility & excellent peer connectivity
258,low,-59.80878698,0,60.92044666,3668,373.2459585,1,peer_vehicle,Low mobility & excellent peer connectivity
259,low,-53.58222315,0,65.85474968,3948,340.9585011,1,peer_vehicle,Low mobility & excellent peer connectivity
260,high,-69.23672859,0,42.49782271,1277,43.16498698,1,cloud,High mobility - cloud optimal
261,high,-68.93504811,0,17.94632815,2490,487.1005431,0,local,Network conditions unsuitable
262,high,-51.77905216,0,53.60030601,506,89.53514236,0,local,Network conditions unsuitable
263,medium,-82.1487892,1,11.92787602,823,247.5795926,0,local,Critical task - local execution required
264,low,-64.17697907,0,55.23348425,1063,83.98447223,1,peer_vehicle,Low mobility & excellent peer connectivity
265,high,-77.7084014,1,11.45309303,1943,352.0486661,0,local,Critical task - local execution required
266,high,-74.00379173,1,34.37015925,589,30.93736066,0,local,Critical task - local execution required
267,medium,-77.75402602,0,27.53817283,3754,254.746377,1,RSU,Medium mobility & RSU connectivity
268,high,-82.59086214,1,10.21876147,1607,206.3484073,0,local,Critical task - local execution required
269,medium,-52.76029801,0,57.68943841,3038,6.81552883,1,RSU,Medium mobility & RSU connectivity
270,low,-56.81711733,0,48.38421487,3197,160.7257304,1,peer_vehicle,Low mobility & excellent peer connectivity
271,high,-73.55886121,1,29.52678076,1677,115.0296071,0,local,Critical task - local execution required
272,low,-66.40727742,0,46.322275,3783,365.8554968,1,peer_vehicle,Low mobility & excellent peer connectivity
273,medium,-81.17858745,0,40.3672601,1684,323.1820831,1,RSU,Medium mobility & RSU connectivity
274,high,-81.330408,0,12.50094285,3603,259.6888687,1,cloud,High mobility - cloud optimal
275,low,-70.7216226,0,41.0080072,540,105.8436723,1,peer_vehicle,Low mobility & excellent peer connectivity
276,low,-73.86021113,0,20.55043107,4006,401.7629456,1,peer_vehicle,Low mobility - peer vehicle available
277,low,-47.39674169,0,71.46478066,1341,127.4808946,1,peer_vehicle,Low mobility & excellent peer connectivity
278,medium,-54.0950909,0,50.92706379,4548,603.4911815,1,RSU,Medium mobility & RSU connectivity
279,low,-63.48697644,0,35.63614524,3813,579.2512036,1,peer_vehicle,Low mobility & excellent peer connectivity
280,medium,-59.39327105,0,65.36764213,1835,305.7053445,1,RSU,Medium mobility & RSU connectivity
281,high,-77.02664988,0,33.12800336,2501,270.6689194,1,cloud,High mobility - cloud optimal
282,low,-53.8786247,0,70.91799306,1968,315.2414783,1,peer_vehicle,Low mobility & excellent peer connectivity
283,medium,-78.18088247,0,36.17606617,3183,259.2833271,1,RSU,Medium mobility & RSU connectivity
284,low,-44.20475176,1,64.55354619,736,34.02258429,0,local,Critical task - local execution required
285,medium,-46.03341485,0,71.68243739,2468,500.6207971,1,RSU,Medium mobility & RSU connectivity
286,high,-65.05657248,0,48.04488165,1866,409.8460751,1,cloud,High mobility - cloud optimal
287,high,-69.72646273,0,30.87196966,2508,57.28766272,0,local,Network conditions unsuitable
288,low,-55.07889917,0,44.50940194,1825,210.7131686,1,peer_vehicle,Low mobility & excellent peer connectivity
289,medium,-64.37282289,1,44.76305766,1624,169.1597519,0,local,Critical task - local execution required
